epoch,loss,clean_acc,time
1,4.3103760959547195,13.42,18.17051100730896
2,3.7942667635505463,19.41,18.461129426956177
3,3.57855905047463,22.89,18.08792996406555
4,3.406050805240641,25.84,18.274566173553467
5,3.2532136690281237,29.65,18.316840648651123
6,3.1173780696166444,32.12,18.572815656661987
7,2.9722046028927465,34.17,18.231769800186157
8,2.8441202671021757,36.75,18.821824550628662
9,2.742289443759967,37.15,18.76170039176941
10,2.6668300189630454,41.02,18.582088947296143
11,2.60107007051063,42.57,18.193899869918823
12,2.543270081205441,43.87,18.327568531036377
13,2.495310299231878,44.35,18.238108158111572
14,2.4521845009015952,46.43,17.791893243789673
15,2.4247300588261442,46.31,17.950729846954346
