epoch,loss,clean_acc,time
1,4.264813959141216,11.87,13.908799648284912
2,3.8306422068944674,16.76,12.462055206298828
3,3.6263891138384103,21.36,13.290901184082031
4,3.4573451131201156,24.53,13.331371068954468
5,3.2842071056365967,28.7,13.106593370437622
6,3.1436438932443216,30.0,12.712517976760864
7,3.026222609498007,31.2,12.373915672302246
8,2.926046398289673,31.55,12.284533500671387
9,2.860852915917516,34.61,14.319744110107422
10,2.801878541936655,36.67,12.716840267181396
11,2.7686725382304864,33.07,12.704833984375
12,2.7288552159848423,39.25,13.192656993865967
13,2.706204692421057,35.57,12.207960605621338
14,2.673170265944108,38.05,12.503885507583618
15,2.654365033444846,37.96,13.386417150497437
16,2.6286472091284554,39.99,13.3651864528656
17,2.6104237758899895,35.73,13.063300132751465
18,2.598785590027909,36.33,12.846557378768921
19,2.5834874795830767,41.54,12.683427095413208
20,2.5620081266173926,40.36,12.988329410552979
21,2.546218429380061,40.56,12.641494035720825
22,2.5362817716720465,42.53,13.008015871047974
23,2.5173222847911707,43.7,12.838264465332031
24,2.515450155643551,44.23,12.990718603134155
25,2.4975918003970095,43.09,13.699423789978027
26,2.4804926735665793,42.46,12.877681016921997
27,2.4708462932225688,41.1,12.705400705337524
28,2.462980755759627,39.54,12.692204475402832
29,2.4471536743671387,43.91,14.069048643112183
30,2.4322888049323237,44.68,12.643603563308716
31,2.4261174043426124,44.31,13.102670431137085
32,2.414624758083802,45.79,12.411046504974365
33,2.39832300176401,46.26,12.854361295700073
34,2.391581938394805,45.98,13.193556308746338
35,2.373631610894752,45.42,12.712952375411987
36,2.372963269958106,45.62,12.676561117172241
37,2.358475216819197,44.52,12.643307209014893
38,2.34773091160123,47.24,13.315492391586304
39,2.329364221724098,46.39,13.139994859695435
40,2.320599864815812,47.92,12.663914203643799
41,2.304089611448595,48.14,12.558365821838379
42,2.287778996750522,46.22,12.795645713806152
43,2.276456333182352,48.89,13.013427257537842
44,2.268899026429257,49.29,12.545936107635498
45,2.2512700697954964,49.62,12.99151349067688
46,2.2490251088691187,49.98,13.2838294506073
47,2.232791656423408,47.91,13.351593971252441
48,2.2131582946728563,50.03,12.530720233917236
49,2.2005879827167676,49.54,12.679659366607666
50,2.1875286864502654,48.45,12.661202192306519
51,2.1816375051313046,50.35,12.470097780227661
52,2.155126426530921,50.66,13.43526315689087
53,2.1396235194047697,51.93,12.688018321990967
54,2.131428430147488,53.11,12.855088472366333
55,2.11154981738771,52.02,13.158913135528564
56,2.0990278507437545,54.19,12.818755388259888
57,2.07465540234695,53.23,13.12605905532837
58,2.0638110613274145,53.34,13.05228590965271
59,2.04844086828744,53.6,12.533831357955933
60,2.0307876960090967,55.28,12.924952268600464
61,2.0100434750242306,55.6,12.48413634300232
62,1.9888942019104043,56.55,14.073349714279175
63,1.974413461697376,53.84,12.460481643676758
64,1.94311986554919,55.07,12.740556716918945
65,1.936169355726608,56.57,12.936053276062012
66,1.9137572028752787,57.13,13.085119009017944
67,1.8989370381435775,56.55,13.385226726531982
68,1.8697185720629095,57.76,12.803508758544922
69,1.8511536563448894,58.35,13.569452285766602
70,1.8258284263293763,58.21,13.368059635162354
71,1.8086972517125748,58.84,13.056642770767212
72,1.7828534972637207,59.41,12.791935682296753
73,1.7627609077926791,59.84,13.273596286773682
74,1.732724829707914,59.4,13.224963903427124
75,1.7138955324812009,60.79,13.025789022445679
76,1.6827641414559407,62.53,12.380064725875854
77,1.6666180489923033,62.16,12.620221376419067
78,1.6346279791249034,62.54,13.193915128707886
79,1.6099833969569877,63.43,13.892972469329834
80,1.590311872074976,63.48,12.645627975463867
81,1.5618031467013347,63.94,12.905562400817871
82,1.5298121149277748,63.3,12.821734428405762
83,1.4985992289565104,64.42,12.923059463500977
84,1.4715922165404804,64.66,12.941632270812988
85,1.4411507524797678,65.8,13.009212970733643
86,1.4118061705928324,65.39,12.90570330619812
87,1.393109855444535,65.25,12.773069143295288
88,1.3614662044188555,66.56,12.398614883422852
89,1.331412630312888,66.99,13.161011695861816
90,1.3064818626169659,67.23,12.922497272491455
91,1.2804603921178053,67.33,12.886031150817871
92,1.248859372285321,67.52,12.992384433746338
93,1.237084929595518,67.89,13.132715702056885
94,1.2099991742607272,68.14,13.185579061508179
95,1.18808882285262,68.27,13.072465658187866
96,1.1746660060894765,68.5,12.933183431625366
97,1.163750382183153,68.38,13.417780876159668
98,1.1495298346899965,68.51,13.064826011657715
99,1.1495103712581918,68.31,12.730161428451538
100,1.1507360032757226,68.56,12.951672792434692
